Date,Open,High,Low,Close,Adj Close,Volume
2015-07-13,17787.269531,18131.609375,17787.269531,18086.449219,18086.449219,435120000
2015-07-20,18085.910156,18137.119141,17553.730469,17568.529297,17568.529297,479670000
2015-07-27,17561.779297,17783.589844,17399.169922,17689.859375,17689.859375,497220000
2015-08-03,17696.740234,17704.759766,17279.080078,17373.380859,17373.380859,467360000
2015-08-10,17375.179688,17629.130859,17125.810547,17477.400391,17477.400391,486510000
2015-08-17,17472.660156,17568.400391,16459.550781,16459.750000,16459.750000,611700000
2015-08-24,16459.750000,16669.970703,15370.330078,16643.009766,16643.009766,1019330000
2015-08-31,16632.019531,16632.019531,15979.950195,16102.379883,16102.379883,683310000
2015-09-07,16109.929688,16664.650391,16109.929688,16433.089844,16433.089844,469980000
2015-09-14,16450.859375,16933.429688,16330.870117,16384.580078,16384.580078,756620000
2015-09-21,16406.099609,16578.599609,16016.360352,16314.669922,16314.669922,548780000
2015-09-28,16313.259766,16472.769531,15942.370117,16472.369141,16472.369141,655120000
2015-10-05,16502.099609,17110.880859,16502.099609,17084.490234,17084.490234,567820000
2015-10-12,17082.289063,17220.019531,16887.669922,17215.970703,17215.970703,560850000
2015-10-19,17209.429688,17679.369141,17129.189453,17646.699219,17646.699219,642710000
2015-10-26,17649.570313,17799.960938,17540.570313,17663.539063,17663.539063,585800000
2015-11-02,17672.619141,17977.849609,17655.019531,17910.330078,17910.330078,499380000
2015-11-09,17900.779297,17900.779297,17238.890625,17245.240234,17245.240234,573380000
2015-11-16,17229.939453,17914.339844,17210.429688,17823.810547,17823.810547,679360000
2015-11-23,17823.609375,17868.179688,17683.509766,17813.390625,17813.390625,426930000
2015-11-30,17802.839844,17901.580078,17425.560547,17847.630859,17847.630859,626940000
2015-12-07,17845.490234,17845.490234,17230.500000,17265.210938,17265.210938,577230000
2015-12-14,17277.109375,17796.759766,17124.310547,17128.550781,17128.550781,850100000
2015-12-21,17154.939453,17607.919922,17116.730469,17552.169922,17552.169922,339650000
2015-12-28,17535.660156,17750.019531,17421.160156,17425.029297,17425.029297,283080000
2016-01-04,17405.480469,17405.480469,16314.570313,16346.450195,16346.450195,692150000
2016-01-11,16358.709961,16593.509766,15842.110352,15988.080078,15988.080078,796840000
2016-01-18,16009.450195,16171.959961,15450.559570,16093.509766,16093.509766,627220000
2016-01-25,16086.459961,16466.300781,15863.719727,16466.300781,16466.300781,727870000
2016-02-01,16453.630859,16510.980469,15960.450195,16204.969727,16204.969727,653030000
2016-02-08,16147.509766,16201.889648,15503.009766,15973.839844,15973.839844,720530000
2016-02-15,16012.389648,16511.839844,16012.389648,16391.990234,16391.990234,505400000
2016-02-22,16417.130859,16795.980469,16165.860352,16639.970703,16639.970703,486630000
2016-02-29,16634.150391,17062.380859,16510.400391,17006.769531,17006.769531,533760000
2016-03-07,16991.289063,17220.089844,16821.859375,17213.310547,17213.310547,566350000
2016-03-14,17207.490234,17620.580078,17120.349609,17602.300781,17602.300781,747110000
2016-03-21,17589.699219,17648.939453,17399.009766,17515.730469,17515.730469,348200000
2016-03-28,17526.080078,17811.480469,17434.269531,17792.750000,17792.750000,443440000
2016-04-04,17799.390625,17806.380859,17484.230469,17576.960938,17576.960938,469980000
2016-04-11,17586.480469,17962.140625,17553.570313,17897.460938,17897.460938,482500000
2016-04-18,17890.199219,18167.630859,17848.220703,18003.750000,18003.750000,516260000
2016-04-25,17990.939453,18084.660156,17651.980469,17773.640625,17773.640625,523020000
2016-05-02,17783.779297,17912.349609,17580.380859,17740.630859,17740.630859,433730000
2016-05-09,17743.849609,17934.609375,17512.480469,17535.320313,17535.320313,423970000
2016-05-16,17531.759766,17755.800781,17331.070313,17500.939453,17500.939453,478340000
2016-05-23,17507.039063,17891.710938,17480.050781,17873.220703,17873.220703,395580000
2016-05-30,17891.500000,17899.240234,17664.789063,17807.060547,17807.060547,383750000
2016-06-06,17825.689453,18016.000000,17812.339844,17865.339844,17865.339844,382110000
2016-06-13,17830.500000,17893.279297,17471.289063,17675.160156,17675.160156,630190000
2016-06-20,17736.869141,18011.070313,17356.339844,17400.750000,17400.750000,611020000
2016-06-27,17355.210938,18002.380859,17063.080078,17949.369141,17949.369141,572500000
2016-07-04,17904.449219,18166.769531,17713.449219,18146.740234,18146.740234,371680000
2016-07-11,18161.529297,18557.429688,18161.529297,18516.550781,18516.550781,462710000
2016-07-18,18521.550781,18622.009766,18469.669922,18570.849609,18570.849609,429120000
2016-07-25,18554.490234,18555.689453,18368.820313,18432.240234,18432.240234,470850000
2016-08-01,18434.500000,18543.529297,18247.789063,18543.529297,18543.529297,408620000
2016-08-08,18541.890625,18638.339844,18468.779297,18576.470703,18576.470703,327730000
2016-08-15,18588.589844,18722.609375,18468.679688,18552.570313,18552.570313,364830000
2016-08-22,18535.859375,18631.599609,18335.339844,18395.400391,18395.400391,362920000
2016-08-29,18421.289063,18544.759766,18295.480469,18491.960938,18491.960938,380780000
2016-09-05,18493.400391,18551.539063,18085.449219,18085.449219,18085.449219,351010000
2016-09-12,18028.949219,18358.689453,17992.210938,18123.800781,18123.800781,687510000
2016-09-19,18154.820313,18449.880859,18093.050781,18261.449219,18261.449219,404830000
2016-09-26,18217.759766,18369.619141,18052.160156,18308.150391,18308.150391,508640000
2016-10-03,18279.599609,18319.730469,18116.259766,18240.490234,18240.490234,385760000
2016-10-10,18282.949219,18399.960938,17959.949219,18138.380859,18138.380859,403160000
2016-10-17,18135.849609,18252.199219,18049.769531,18145.710938,18145.710938,445240000
2016-10-24,18197.140625,18275.039063,18062.300781,18161.189453,18161.189453,449450000
2016-10-31,18176.599609,18193.679688,17883.560547,17888.279297,17888.279297,475590000
2016-11-07,17994.640625,18873.660156,17994.640625,18847.660156,18847.660156,618070000
2016-11-14,18876.769531,18934.050781,18806.060547,18867.929688,18867.929688,500050000
2016-11-21,18898.679688,19152.140625,18883.099609,19152.140625,19152.140625,289600000
2016-11-28,19122.140625,19225.289063,19062.220703,19170.419922,19170.419922,528260000
2016-12-05,19244.349609,19757.740234,19184.740234,19756.849609,19756.849609,1647000000
2016-12-12,19770.199219,19966.429688,19747.740234,19843.410156,19843.410156,2061330000
2016-12-19,19836.660156,19987.630859,19832.949219,19933.810547,19933.810547,1259580000
2016-12-26,19943.460938,19981.109375,19718.669922,19762.599609,19762.599609,790840000
2017-01-02,19872.859375,19999.630859,19775.929688,19963.800781,19963.800781,1166810000
2017-01-09,19931.410156,19973.419922,19770.470703,19885.730469,19885.730469,1493140000
2017-01-16,19848.820313,19882.990234,19677.939453,19827.250000,19827.250000,1358670000
2017-01-23,19794.789063,20125.580078,19732.359375,20093.779297,20093.779297,1773250000
2017-01-30,20028.619141,20081.480469,19784.769531,20071.460938,20071.460938,1809140000
2017-02-06,20025.609375,20298.210938,20002.810547,20269.369141,20269.369141,1479340000
2017-02-13,20338.539063,20639.869141,20322.949219,20624.050781,20624.050781,1750320000
2017-02-20,20663.429688,20840.699219,20663.369141,20821.759766,20821.759766,1242060000
2017-02-27,20808.710938,21169.109375,20774.759766,21005.710938,21005.710938,1562900000
2017-03-06,20955.710938,20986.429688,20777.160156,20902.980469,20902.980469,1429420000
2017-03-13,20899.279297,21000.109375,20786.310547,20914.619141,20914.619141,1642310000
2017-03-20,20916.269531,20970.039063,20529.669922,20596.720703,20596.720703,1521050000
2017-03-27,20488.349609,20753.779297,20412.800781,20663.220703,20663.220703,1382040000
2017-04-03,20665.169922,20887.500000,20517.820313,20656.099609,20656.099609,1279490000
2017-04-10,20668.220703,20750.330078,20453.250000,20453.250000,20453.250000,989080000
2017-04-17,20484.750000,20644.410156,20379.550781,20547.759766,20547.759766,1469250000
2017-04-24,20723.589844,21070.900391,20723.589844,20940.509766,20940.509766,1654810000
2017-05-01,20962.730469,21006.939453,20847.949219,21006.939453,21006.939453,1473570000
2017-05-08,20991.259766,21046.849609,20798.900391,20896.609375,20896.609375,1408670000
2017-05-15,20923.630859,21033.529297,20553.449219,20804.839844,20804.839844,1835720000
2017-05-22,20867.769531,21112.320313,20860.160156,21080.279297,21080.279297,1281220000
2017-05-29,21045.490234,21225.039063,20942.570313,21206.289063,21206.289063,1220820000
2017-06-05,21195.029297,21305.349609,21113.310547,21271.970703,21271.970703,1554270000
2017-06-12,21259.949219,21391.970703,21186.150391,21384.279297,21384.279297,2067140000
2017-06-19,21444.750000,21535.029297,21333.890625,21394.759766,21394.759766,1531180000
2017-06-26,21434.679688,21506.210938,21197.080078,21349.630859,21349.630859,1455570000
2017-07-03,21392.300781,21562.750000,21305.380859,21414.339844,21414.339844,1023190000
2017-07-10,21381.230469,21681.529297,21279.300781,21637.740234,21637.740234,1253640000
2017-07-17,21633.970703,21661.910156,21471.140625,21580.070313,21580.070313,1425710000
2017-07-24,21577.779297,21841.179688,21496.130859,21830.310547,21830.310547,1559570000
2017-07-31,21863.390625,22092.810547,21861.710938,22092.810547,22092.810547,1505210000
2017-08-07,22100.199219,22179.109375,21842.740234,21858.320313,21858.320313,1293910000
2017-08-14,21945.640625,22085.710938,21641.630859,21674.509766,21674.509766,1389120000
2017-08-21,21671.359375,21912.830078,21600.339844,21813.669922,21813.669922,1203720000
2017-08-28,21832.500000,22038.970703,21673.580078,21987.560547,21987.560547,1321950000
2017-09-04,21912.369141,21921.089844,21709.630859,21797.789063,21797.789063,1274810000
2017-09-08,21764.429688,21846.630859,21731.119141,21797.789063,21797.789063,289404747
